name,acronym,AP_location,DV_location,ML_location,avIndex
Gigantocellular reticular nucleus,GRN,-6.52,6.44,-0.74,976
Medial vestibular nucleus,MV,-6.52,5.1,-0.73,1004
Nucleus of the solitary tract,NTS,-6.52,5.38,-0.73,949
Intermediate reticular nucleus,IRN,-6.52,5.74,-0.71,979
Intermediate reticular nucleus,IRN,-6.52,5.51,-0.71,979
Medulla,MY,-6.52,7.12,-0.72,936
Medulla,MY,-6.52,7.2,-0.71,936
Gigantocellular reticular nucleus,GRN,-6.52,6.94,-0.71,976
Medial vestibular nucleus,MV,-6.52,5.05,-0.68,1004
Nucleus of the solitary tract,NTS,-6.52,5.39,-0.68,949
Medulla,MY,-6.52,7,-0.69,936
Intermediate reticular nucleus,IRN,-6.52,5.58,-0.67,979
Intermediate reticular nucleus,IRN,-6.52,5.66,-0.66,979
Intermediate reticular nucleus,IRN,-6.52,5.4,-0.64,979
Intermediate reticular nucleus,IRN,-6.52,5.53,-0.65,979
Intermediate reticular nucleus,IRN,-6.52,5.48,-0.64,979
Inferior olivary complex,IO,-6.52,7.11,-0.64,978
Intermediate reticular nucleus,IRN,-6.52,5.41,-0.61,979
Intermediate reticular nucleus,IRN,-6.52,5.49,-0.6,979
Intermediate reticular nucleus,IRN,-6.52,5.52,-0.6,979
Medulla,MY,-6.52,5.31,-0.55,936
Intermediate reticular nucleus,IRN,-6.52,5.58,-0.58,979
Intermediate reticular nucleus,IRN,-6.52,5.51,-0.53,979
Nucleus prepositus,PRP,-6.52,5.35,-0.27,997
Medulla,MY,-6.52,6.02,0.01,936
Gigantocellular reticular nucleus,GRN,-6.52,6.84,0.38,976
Magnocellular reticular nucleus,MARN,-6.52,6.57,0.42,985
Gigantocellular reticular nucleus,GRN,-6.52,6.37,0.5,976
Dorsal motor nucleus of the vagus nerve,DMX,-6.52,5.26,0.56,974
Gigantocellular reticular nucleus,GRN,-6.52,6.39,0.54,976
Intermediate reticular nucleus,IRN,-6.52,5.54,0.57,979
Magnocellular reticular nucleus,MARN,-6.52,6.73,0.56,985
Medulla,MY,-6.52,5.34,0.57,936
Medulla,MY,-6.52,5.39,0.6,936
Intermediate reticular nucleus,IRN,-6.52,5.5,0.61,979
Intermediate reticular nucleus,IRN,-6.52,5.59,0.63,979
Intermediate reticular nucleus,IRN,-6.52,5.45,0.64,979
Nucleus of the solitary tract,NTS,-6.52,5.32,0.66,949
Medial vestibular nucleus,MV,-6.52,4.99,0.66,1004
Intermediate reticular nucleus,IRN,-6.52,5.55,0.69,979
Intermediate reticular nucleus,IRN,-6.52,5.45,0.7,979
Medial vestibular nucleus,MV,-6.52,5.09,0.73,1004
Intermediate reticular nucleus,IRN,-6.52,5.6,0.73,979
Medial vestibular nucleus,MV,-6.52,5.03,0.74,1004
Intermediate reticular nucleus,IRN,-6.52,5.52,0.74,979
Intermediate reticular nucleus,IRN,-6.52,5.64,0.73,979
Medial vestibular nucleus,MV,-6.52,5.1,0.76,1004
Nucleus of the solitary tract,NTS,-6.52,5.26,0.76,949
Nucleus of the solitary tract,NTS,-6.52,5.41,0.76,949
Dorsal motor nucleus of the vagus nerve,DMX,-6.52,5.2,0.76,974
Intermediate reticular nucleus,IRN,-6.52,5.52,0.78,979
Nucleus of the solitary tract,NTS,-6.52,5.34,0.79,949
